type	latitude	longitude	altitude (ft)	eos	name
T	25.827559000	-80.182482000	4.9		
T	25.822407000	-80.131769000	1.5		
T	25.841025000	-80.129978000	2.1		
T	25.824878000	-80.130210000	2.8		
T	25.834813000	-80.129641000	1.8		
T	25.816714000	-80.129549000	1.0		
T	25.858934000	-80.129587000	0.3		
T	25.852210000	-80.176231000	2.6		
T	25.860033000	-80.131186000	2.9		
T	25.854854000	-80.178705000	7.6		
T	25.819281000	-80.126868000	3.2		
T	25.860214000	-80.138226000	1.8		
T	25.816015000	-80.129084000	1.6		
T	25.831088000	-80.182091000	6.6		
T	25.816445000	-80.129590000	1.1		
T	25.816432000	-80.193793000	13.4		
T	25.826596000	-80.185659000	10.5		
T	25.845160000	-80.158613000	0.4		
T	25.851269000	-80.173334000	0.3		
T	25.827951000	-80.130185000	1.5		
T	25.825387000	-80.185812000	10.1		
T	25.853500000	-80.173833000	1.0		
T	25.851754000	-80.173557000	0.4		
T	25.863152000	-80.192825000	7.1		
T	25.822130000	-80.182030000	4.3		
T	25.827878000	-80.129551000	2.3		
T	25.824864000	-80.133940000	1.8		
T	25.841564000	-80.129294000	1.9		
T	25.826155000	-80.127680000	3.8		
T	25.846710000	-80.157341000	0.3		
T	25.833545000	-80.124786000	4.4		
T	25.853811000	-80.172332000	0.3		
T	25.826137000	-80.128893000	3.3		
T	25.855357000	-80.139542000	1.8		
T	25.845886000	-80.157307000	0.3		
T	25.844789000	-80.181621000	2.2		
T	25.851578000	-80.177333000	4.9		
T	25.845814000	-80.149906000	0.3		
T	25.860270000	-80.173640000	2.5		
T	25.856156000	-80.136302000	1.8		
T	25.824212000	-80.133794000	1.6		
T	25.816466000	-80.134280000	1.6		
T	25.845335000	-80.180003000	0.7		
T	25.820060000	-80.136163000	0.4		
T	25.845339000	-80.154580000	0.3		
T	25.842938000	-80.177845000	2.8		
T	25.859325000	-80.142811000	0.4		
T	25.820529000	-80.126744000	3.0		
T	25.851775000	-80.174191000	0.8		
T	25.822531000	-80.183643000	5.0		
T	25.813917000	-80.187416000	7.5		
T	25.825785000	-80.128884000	3.6		
T	25.854346000	-80.133013000	2.2		
T	25.843191000	-80.180262000	4.7		
T	25.827026000	-80.128935000	2.6		
T	25.855447000	-80.139177000	1.4		
T	25.857913000	-80.128963000	0.3		
T	25.859854000	-80.176464000	7.3		
T	25.861012000	-80.172102000	1.1		
T	25.821908000	-80.134262000	1.5		
T	25.860550000	-80.138040000	1.0		
T	25.812834000	-80.130107000	2.9		
T	25.834101000	-80.120254000	3.1		
T	25.860072000	-80.188602000	6.0		
T	25.822054000	-80.132944000	2.0		
T	25.847995000	-80.159219000	2.7		
T	25.827935000	-80.184984000	8.3		
T	25.855133000	-80.142939000	1.7		
T	25.853791000	-80.191414000	3.3		
T	25.852750000	-80.179500000	6.4		
T	25.860728000	-80.177245000	8.1		
T	25.845265000	-80.182117000	2.0		
T	25.818368000	-80.193926000	13.8		
T	25.841384000	-80.177600000	3.4		
T	25.842930000	-80.185531000	8.5		
T	25.860698000	-80.133549000	0.9		
T	25.829796000	-80.184559000	8.7		
T	25.857362000	-80.134484000	2.4		
T	25.819780000	-80.135438000	1.0		
T	25.827030000	-80.127872000	3.3		
T	25.854501000	-80.135416000	0.4		
T	25.852898000	-80.120070000	4.1		
T	25.818573000	-80.129209000	1.1		
T	25.827483000	-80.184536000	8.4		
T	25.846319000	-80.157870000	1.1		
T	25.843262000	-80.177635000	2.2		
T	25.859519000	-80.171954000	0.5		
T	25.855314000	-80.144831000	2.4		
T	25.850311000	-80.138145000	1.5		
T	25.811002000	-80.272822000	4.4		
T	25.845587000	-80.183117000	3.1		
T	25.816442000	-80.121937000	3.0		
T	25.851858000	-80.143606000	0.6		
T	25.859768000	-80.141263000	1.6		
T	25.853483000	-80.132767000	2.9		
T	25.859373000	-80.176483000	6.4		
T	25.813153000	-80.191714000	13.9		
T	25.852557000	-80.133369000	2.6		
T	25.846191000	-80.153372000	0.3		
T	25.844664000	-80.189834000	7.5		
T	25.860544000	-80.138241000	1.0		
T	25.855061000	-80.120047000	3.5		
T	25.845311000	-80.180640000	1.2		
T	25.863152000	-80.192825000	7.1		
T	25.844996000	-80.149373000	0.3		
T	25.845317000	-80.180475000	1.1		
T	25.840945000	-80.180068000	4.2		
T	25.855374000	-80.193103000	5.0		
T	25.840088000	-80.183395000	8.5		
T	25.855374000	-80.193103000	5.0		
T	25.818112000	-80.191354000	12.1		
T	25.851434000	-80.176372000	2.6		
T	25.849393000	-80.177706000	5.6		
T	25.854142000	-80.173649000	0.9		
T	25.852373000	-80.137009000	3.0		
T	25.841990000	-80.183259000	6.3		
T	25.855830000	-80.171833000	0.3		
T	25.860227000	-80.137819000	2.0		
T	25.840448000	-80.187104000	8.2		
T	25.862188000	-80.182835000	8.9		
T	25.851082000	-80.139651000	2.4		
T	25.855865000	-80.177432000	8.2		
T	25.846837000	-80.154276000	0.3		
T	25.850275000	-80.139376000	1.4		
T	25.856225000	-80.174466000	2.2		
T	25.829426000	-80.186519000	13.1		
T	25.861607000	-80.182953000	10.3		
T	25.839553000	-80.179892000	3.6		
T	25.842155000	-80.177926000	3.6		
T	25.844941000	-80.151102000	0.3		
T	25.816119000	-80.192720000	12.4		
T	25.841428000	-80.175858000	0.3		
T	25.852177000	-80.134696000	3.3		
T	25.854324000	-80.175525000	2.8		
