,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
44,Voltage Reduction,2014,4/8/2014,11:09 AM,4/8/2014,11:20 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction
45,Severe Weather - Wind,2014,4/4/2014,3:30 AM,4/4/2014,8:15 AM,"Entergy Services, Inc.",Central Arkansas,SERC,Unknown,"57,200","severe weather, wind"
46,Fuel Supply Emergency - Coal,2014,4/3/2014,12:00 AM,Unknown,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal"
47,Fuel Supply Emergency - Coal,2014,4/3/2014,2:45 PM,4/9/2014,11:53 AM,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal"
48,System Wide Voltage Reduction,2014,3/31/2014,3:41 PM,3/31/2014,8:08 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction
49,Electrical System Separation (Islanding),2014,3/26/2014,1:37 PM,3/26/2014,2:33 PM,Peak Reliability,Montana,WECC,Unknown,Unknown,islanding
50,Physical Attack,2014,3/26/2014,4:00 PM,4/10/2014,12:00 PM,ITC Midwest LLC,Iowa,MRO,,,"vandalism, physical"
51,Vandalism,2014,3/24/2014,11:07 AM,3/24/2014,11:08 AM,PacifiCorp,"Salt Lake City, Utah",WECC,,,"vandalism, physical"
52,Suspected Cyber Attack,2014,3/20/2014,12:00 AM,3/20/2014,12:01 AM,NRG Energy Inc 2,New York,NPCC,Unknown,Unknown,"vandalism, cyber"
53,Physical Attack - Sabatoge,2014,3/17/2014,5:25 PM,3/18/2014,12:56 AM,Arizona Public Service Co,"Glendale, Arizona",WECC,,,vandalism
54,Vandalism,2014,3/14/2014,12:34 PM,3/14/2014,4:45 PM,ITC Holdings,"Boone County, Iowa",MRO,Unknown,Unknown,"vandalism, physical"
55,Severe Weather - High Winds,2014,3/12/2014,7:35 PM,3/13/2014,12:00 PM,Duke Energy Carolinas,North Carolina,SERC,250,"61,377","severe weather, wind"
56,Suspected Physical Attack,2014,3/11/2014,12:00 AM,3/13/2014,12:00 AM,ITC Midwest LLC,"Boone County, Iowa",MRO,Unknown,Unknown,"vandalism, physical"
57,Severe Weather - Winter Storm,2014,3/7/2014,3:30 AM,3/7/2014,9:00 PM,Duke Energy Carolinas,"Triad, North Carolina",SERC,1500,"370,900","severe weather, winter storm"
58,Physical Attack,2014,3/5/2014,5:06 PM,3/5/2014,5:07 PM,PacifiCorp,"Salt Lake City, Utah",WECC,Unknown,Unknown,"vandalism, physical"
59,Fuel Supply Emergency - Coal,2014,3/4/2014,9:06 AM,3/17/2014,9:06 AM,Wisconsin Public Service Corp,"Weston, Wisconsin",MRO,Unknown,Unknown,"fuel supply emergency, coal"
60,Suspected Physical Attack,2014,3/3/2014,5:25 PM,3/3/2014,5:25 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,Unknown,Unknown,"vandalism, physical"
61,Severe Weather - Winter Storm,2014,3/3/2014,6:40 AM,3/3/2014,3:28 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,"65,904","severe weather, winter storm"
